GEO,i,REF_DATE,t,Ei,Y,Products and product groups,i2,D,GPR,StringencyIndex_Average,EconomicSupportIndex,interest,avg_earn,log_avg_earn,unemp,WTI_Oil,CADUSD
Newfoundland and Labrador,5,2021-09-01,1,13.0,110.2,Non-alcoholic beverages,5,0,80.69696807861328,50.59,12.5,0.5,1123.51,7.024212992342337,12.0,71.56,0.7893644545454546
Prince Edward Island,8,2021-09-01,1,,127.2,Non-alcoholic beverages,8,0,80.69696807861328,58.33,37.5,0.5,961.13,6.868109675575775,8.5,71.56,0.7893644545454546
Nova Scotia,6,2021-09-01,1,,152.9,Non-alcoholic beverages,6,0,80.69696807861328,58.33,37.5,0.5,985.04,6.892682249484616,7.2,71.56,0.7893644545454546
New Brunswick,4,2021-09-01,1,,137.8,Non-alcoholic beverages,4,0,80.69696807861328,35.19,12.5,0.5,1017.11,6.924720551458156,8.0,71.56,0.7893644545454546
Quebec,9,2021-09-01,1,,136.2,Non-alcoholic beverages,9,0,80.69696807861328,52.84,75.0,0.5,1080.36,6.985049597908386,5.3,71.56,0.7893644545454546
Ontario,7,2021-09-01,1,,129.5,Non-alcoholic beverages,7,0,80.69696807861328,47.22,12.5,0.5,1166.27,7.061565900996291,7.1,71.56,0.7893644545454546
Manitoba,3,2021-09-01,1,,135.4,Non-alcoholic beverages,3,0,80.69696807861328,50.93,12.5,0.5,1029.54,6.936867379525585,5.0,71.56,0.7893644545454546
Saskatchewan,10,2021-09-01,1,,152.9,Non-alcoholic beverages,10,0,80.69696807861328,31.48,12.5,0.5,1115.08,7.0166814301993155,5.5,71.56,0.7893644545454546
Alberta,1,2021-09-01,1,,156.7,Non-alcoholic beverages,1,0,80.69696807861328,35.19,12.5,0.5,1232.18,7.116540237317435,7.2,71.56,0.7893644545454546
British Columbia,2,2021-09-01,1,,144.3,Non-alcoholic beverages,2,0,80.69696807861328,53.24,12.5,0.5,1142.37,7.040860330736305,5.6,71.56,0.7893644545454546
Newfoundland and Labrador,5,2021-10-01,2,13.0,114.1,Non-alcoholic beverages,5,0,79.02923583984375,47.11,12.5,0.5,1101.43,7.0043646145180825,11.8,81.32,0.8030589047619048
Prince Edward Island,8,2021-10-01,2,,124.1,Non-alcoholic beverages,8,0,79.02923583984375,52.19,37.5,0.5,943.9,6.850020228330899,7.7,81.32,0.8030589047619048
Nova Scotia,6,2021-10-01,2,,154.0,Non-alcoholic beverages,6,0,79.02923583984375,52.27,37.5,0.5,989.28,6.896977405810259,7.4,81.32,0.8030589047619048
New Brunswick,4,2021-10-01,2,,140.1,Non-alcoholic beverages,4,0,79.02923583984375,49.15,12.5,0.5,1003.94,6.911687537509742,7.9,81.32,0.8030589047619048
Quebec,9,2021-10-01,2,,142.8,Non-alcoholic beverages,9,0,79.02923583984375,48.32,75.0,0.5,1075.34,6.9803921696258495,4.8,81.32,0.8030589047619048
Ontario,7,2021-10-01,2,,128.1,Non-alcoholic beverages,7,0,79.02923583984375,44.06,12.5,0.5,1173.53,7.0677715795148,6.3,81.32,0.8030589047619048
Manitoba,3,2021-10-01,2,,129.5,Non-alcoholic beverages,3,0,79.02923583984375,51.63,12.5,0.5,1030.79,6.938080777528204,4.4,81.32,0.8030589047619048
Saskatchewan,10,2021-10-01,2,,145.9,Non-alcoholic beverages,10,0,79.02923583984375,33.66,12.5,0.5,1121.34,7.022279677710266,4.9,81.32,0.8030589047619048
Alberta,1,2021-10-01,2,,152.3,Non-alcoholic beverages,1,0,79.02923583984375,49.72,12.5,0.5,1221.33,7.107695707864544,6.7,81.32,0.8030589047619048
British Columbia,2,2021-10-01,2,,142.5,Non-alcoholic beverages,2,0,79.02923583984375,36.67,12.5,0.5,1140.94,7.039607763028054,5.2,81.32,0.8030589047619048
Newfoundland and Labrador,5,2021-11-01,3,13.0,112.8,Non-alcoholic beverages,5,0,86.56914520263672,43.1,0.0,0.5,1104.62,7.00725666340493,10.3,79.18,0.7970098636363635
Prince Edward Island,8,2021-11-01,3,,117.9,Non-alcoholic beverages,8,0,86.56914520263672,53.85,25.0,0.5,938.09,6.843845893230722,9.3,79.18,0.7970098636363635
Nova Scotia,6,2021-11-01,3,,147.9,Non-alcoholic beverages,6,0,86.56914520263672,47.8,25.0,0.5,982.96,6.890568427559316,8.4,79.18,0.7970098636363635
New Brunswick,4,2021-11-01,3,,140.5,Non-alcoholic beverages,4,0,86.56914520263672,55.41,0.0,0.5,1013.17,6.92083930853006,8.3,79.18,0.7970098636363635
Quebec,9,2021-11-01,3,,140.2,Non-alcoholic beverages,9,0,86.56914520263672,47.94,75.0,0.5,1083.58,6.988025653045407,4.2,79.18,0.7970098636363635
Ontario,7,2021-11-01,3,,133.3,Non-alcoholic beverages,7,0,86.56914520263672,43.41,12.5,0.5,1159.95,7.056132179723154,5.8,79.18,0.7970098636363635
Manitoba,3,2021-11-01,3,,127.0,Non-alcoholic beverages,3,0,86.56914520263672,51.36,0.0,0.5,1024.27,6.931735442719133,4.7,79.18,0.7970098636363635
Saskatchewan,10,2021-11-01,3,,143.0,Non-alcoholic beverages,10,0,86.56914520263672,32.67,0.0,0.5,1105.56,7.008107272908841,5.0,79.18,0.7970098636363635
Alberta,1,2021-11-01,3,,147.5,Non-alcoholic beverages,1,0,86.56914520263672,48.55,0.0,0.5,1227.83,7.1130036626417885,7.1,79.18,0.7970098636363635
British Columbia,2,2021-11-01,3,,137.8,Non-alcoholic beverages,2,0,86.56914520263672,35.62,0.0,0.5,1129.51,7.029539189343855,5.4,79.18,0.7970098636363635
Newfoundland and Labrador,5,2021-12-01,4,13.0,111.7,Non-alcoholic beverages,5,0,105.34542083740234,40.64,0.0,0.5,1104.02,7.006713342614978,11.9,71.53,0.7813472173913043
Prince Edward Island,8,2021-12-01,4,,120.9,Non-alcoholic beverages,8,0,105.34542083740234,53.41,25.0,0.5,953.11,6.859730321967019,9.1,71.53,0.7813472173913043
Nova Scotia,6,2021-12-01,4,,151.7,Non-alcoholic beverages,6,0,105.34542083740234,46.97,25.0,0.5,998.69,6.906444420182036,7.2,71.53,0.7813472173913043
New Brunswick,4,2021-12-01,4,,137.2,Non-alcoholic beverages,4,0,105.34542083740234,46.97,0.0,0.5,1030.34,6.937644123841003,7.4,71.53,0.7813472173913043
Quebec,9,2021-12-01,4,,140.9,Non-alcoholic beverages,9,0,105.34542083740234,50.3,75.0,0.5,1085.0,6.98933526597456,4.5,71.53,0.7813472173913043
Ontario,7,2021-12-01,4,,130.5,Non-alcoholic beverages,7,0,105.34542083740234,45.81,12.5,0.5,1161.19,7.057200620332477,5.5,71.53,0.7813472173913043
Manitoba,3,2021-12-01,4,,127.6,Non-alcoholic beverages,3,0,105.34542083740234,54.01,0.0,0.5,1032.23,6.939476789427131,4.8,71.53,0.7813472173913043
Saskatchewan,10,2021-12-01,4,,144.1,Non-alcoholic beverages,10,0,105.34542083740234,35.46,0.0,0.5,1121.84,7.0227254734183955,5.2,71.53,0.7813472173913043
Alberta,1,2021-12-01,4,,150.2,Non-alcoholic beverages,1,0,105.34542083740234,51.1,0.0,0.5,1240.39,7.123181125278285,6.6,71.53,0.7813472173913043
British Columbia,2,2021-12-01,4,,141.3,Non-alcoholic beverages,2,0,105.34542083740234,37.69,0.0,0.5,1132.93,7.032562476242049,4.8,71.53,0.7813472173913043
Newfoundland and Labrador,5,2022-01-01,5,13.0,113.5,Non-alcoholic beverages,5,0,138.67498779296875,69.69,37.5,0.5,1116.18,7.017667420257951,15.9,83.12,0.7923898571428571
Prince Edward Island,8,2022-01-01,5,,124.7,Non-alcoholic beverages,8,0,138.67498779296875,61.46,37.5,0.5,961.26,6.868244923886678,12.1,83.12,0.7923898571428571
Nova Scotia,6,2022-01-01,5,,154.1,Non-alcoholic beverages,6,0,138.67498779296875,67.31,37.5,0.5,1005.1,6.912842318030695,7.5,83.12,0.7923898571428571
New Brunswick,4,2022-01-01,5,,141.0,Non-alcoholic beverages,4,0,138.67498779296875,48.5,37.5,0.5,1034.86,6.942021430849756,9.9,83.12,0.7923898571428571
Quebec,9,2022-01-01,5,,141.9,Non-alcoholic beverages,9,0,138.67498779296875,60.38,75.0,0.5,1098.89,7.0020558584023735,6.0,83.12,0.7923898571428571
Ontario,7,2022-01-01,5,,136.9,Non-alcoholic beverages,7,0,138.67498779296875,48.36,37.5,0.5,1184.64,7.077194209945078,7.6,83.12,0.7923898571428571
Manitoba,3,2022-01-01,5,,129.8,Non-alcoholic beverages,3,0,138.67498779296875,59.76,37.5,0.5,1034.99,6.9421470438170445,5.0,83.12,0.7923898571428571
Saskatchewan,10,2022-01-01,5,,149.6,Non-alcoholic beverages,10,0,138.67498779296875,34.89,37.5,0.5,1135.64,7.034951647648784,6.0,83.12,0.7923898571428571
Alberta,1,2022-01-01,5,,151.9,Non-alcoholic beverages,1,0,138.67498779296875,50.74,37.5,0.5,1248.54,7.129730147652743,7.4,83.12,0.7923898571428571
British Columbia,2,2022-01-01,5,,145.4,Non-alcoholic beverages,2,0,138.67498779296875,52.2,37.5,0.5,1155.32,7.052132640859948,5.4,83.12,0.7923898571428571
Newfoundland and Labrador,5,2022-02-01,6,13.0,118.4,Non-alcoholic beverages,5,0,216.1590118408203,66.36,37.5,0.5,1136.14,7.035391831124361,14.7,91.74,0.7860132
Prince Edward Island,8,2022-02-01,6,,128.7,Non-alcoholic beverages,8,0,216.1590118408203,53.47,37.5,0.5,960.83,6.867797494258332,11.7,91.74,0.7860132
Nova Scotia,6,2022-02-01,6,,158.2,Non-alcoholic beverages,6,0,216.1590118408203,56.31,37.5,0.5,1007.54,6.915266995265976,7.0,91.74,0.7860132
New Brunswick,4,2022-02-01,6,,143.8,Non-alcoholic beverages,4,0,216.1590118408203,48.76,37.5,0.5,1045.46,6.952212258930665,8.2,91.74,0.7860132
Quebec,9,2022-02-01,6,,146.9,Non-alcoholic beverages,9,0,216.1590118408203,46.03,75.0,0.5,1105.88,7.008396677099987,4.8,91.74,0.7860132
Ontario,7,2022-02-01,6,,137.5,Non-alcoholic beverages,7,0,216.1590118408203,48.78,37.5,0.5,1187.47,7.079580272431783,5.7,91.74,0.7860132
Manitoba,3,2022-02-01,6,,137.9,Non-alcoholic beverages,3,0,216.1590118408203,52.25,37.5,0.5,1040.21,6.947177894828621,4.5,91.74,0.7860132
Saskatchewan,10,2022-02-01,6,,159.3,Non-alcoholic beverages,10,0,216.1590118408203,37.96,37.5,0.5,1136.79,7.0359637801221036,5.1,91.74,0.7860132
Alberta,1,2022-02-01,6,,162.2,Non-alcoholic beverages,1,0,216.1590118408203,52.45,37.5,0.5,1243.28,7.125508327607356,7.1,91.74,0.7860132
British Columbia,2,2022-02-01,6,,152.4,Non-alcoholic beverages,2,0,216.1590118408203,44.3,37.5,0.5,1153.57,7.050616760644684,4.8,91.74,0.7860132
Newfoundland and Labrador,5,2022-03-01,7,13.0,117.2,Non-alcoholic beverages,5,0,318.9549255371094,43.95,37.5,0.75,1136.21,7.035453441351678,15.4,108.49,0.7900341304347825
Prince Edward Island,8,2022-03-01,7,,127.1,Non-alcoholic beverages,8,0,318.9549255371094,42.25,37.5,0.75,972.41,6.879777526222903,10.8,108.49,0.7900341304347825
Nova Scotia,6,2022-03-01,7,,160.2,Non-alcoholic beverages,6,0,318.9549255371094,38.55,37.5,0.75,1005.78,6.913518638871241,7.6,108.49,0.7900341304347825
New Brunswick,4,2022-03-01,7,,146.2,Non-alcoholic beverages,4,0,318.9549255371094,42.64,37.5,0.75,1074.37,6.979489722257756,8.3,108.49,0.7900341304347825
Quebec,9,2022-03-01,7,,154.2,Non-alcoholic beverages,9,0,318.9549255371094,29.6,75.0,0.75,1112.26,7.01414926043018,4.5,108.49,0.7900341304347825
Ontario,7,2022-03-01,7,,140.1,Non-alcoholic beverages,7,0,318.9549255371094,30.92,37.5,0.75,1204.63,7.093927744832133,5.7,108.49,0.7900341304347825
Manitoba,3,2022-03-01,7,,142.6,Non-alcoholic beverages,3,0,318.9549255371094,35.04,37.5,0.75,1036.24,6.943354056222001,4.7,108.49,0.7900341304347825
Saskatchewan,10,2022-03-01,7,,162.2,Non-alcoholic beverages,10,0,318.9549255371094,18.73,37.5,0.75,1130.9,7.030769054877282,5.6,108.49,0.7900341304347825
Alberta,1,2022-03-01,7,,166.7,Non-alcoholic beverages,1,0,318.9549255371094,21.82,37.5,0.75,1254.36,7.134380761332616,6.7,108.49,0.7900341304347825
British Columbia,2,2022-03-01,7,,154.8,Non-alcoholic beverages,2,0,318.9549255371094,32.53,37.5,0.75,1161.0,7.057036981697891,5.3,108.49,0.7900341304347825
Newfoundland and Labrador,5,2022-04-01,8,13.0,117.0,Non-alcoholic beverages,5,0,191.14309692382812,19.72,25.0,1.25,1136.84,7.0360077626522495,13.6,101.78,0.7926800476190478
Prince Edward Island,8,2022-04-01,8,,128.1,Non-alcoholic beverages,8,0,191.14309692382812,42.0,37.5,1.25,961.78,6.868785734283418,10.1,101.78,0.7926800476190478
Nova Scotia,6,2022-04-01,8,,164.2,Non-alcoholic beverages,6,0,191.14309692382812,20.84,25.0,1.25,1023.29,6.930778205739673,6.4,101.78,0.7926800476190478
New Brunswick,4,2022-04-01,8,,149.3,Non-alcoholic beverages,4,0,191.14309692382812,17.56,25.0,1.25,1073.95,6.979098719050272,7.6,101.78,0.7926800476190478
Quebec,9,2022-04-01,8,,150.7,Non-alcoholic beverages,9,0,191.14309692382812,21.07,75.0,1.25,1111.93,7.013852523188828,4.5,101.78,0.7926800476190478
Ontario,7,2022-04-01,8,,141.2,Non-alcoholic beverages,7,0,191.14309692382812,17.84,37.5,1.25,1196.09,7.086813182515495,5.4,101.78,0.7926800476190478
Manitoba,3,2022-04-01,8,,139.5,Non-alcoholic beverages,3,0,191.14309692382812,18.09,25.0,1.25,1039.28,6.946283444687477,5.1,101.78,0.7926800476190478
Saskatchewan,10,2022-04-01,8,,159.4,Non-alcoholic beverages,10,0,191.14309692382812,18.65,25.0,1.25,1135.2,7.034564125845833,6.1,101.78,0.7926800476190478
Alberta,1,2022-04-01,8,,161.7,Non-alcoholic beverages,1,0,191.14309692382812,18.92,25.0,1.25,1247.23,7.12868037133497,6.4,101.78,0.7926800476190478
British Columbia,2,2022-04-01,8,,153.1,Non-alcoholic beverages,2,0,191.14309692382812,21.77,25.0,1.25,1164.51,7.0600556766640805,4.9,101.78,0.7926800476190478
